timestamp,load_kw,temperature_c,humidity_pct,is_weekend,season_code,substation_shutdown
2021-01-06 08:00:00,5122.741181278631,27.22222222222222,55,0,1,0
2021-01-06 09:00:00,5004.8647315187245,26.666666666666668,59,0,1,0
2021-01-06 10:00:00,4853.774475472876,26.666666666666668,59,0,1,0
2021-01-06 11:00:00,4853.774475472876,26.666666666666668,59,0,1,0
2021-01-06 12:00:00,4702.6842194270275,24.444444444444443,74,0,1,0
2021-01-06 13:00:00,3669.4743434928114,24.444444444444443,74,0,1,0
2021-01-06 14:00:00,3437.303325043048,24.444444444444443,74,0,1,0
2021-01-06 15:00:00,3437.303325043048,23.333333333333332,79,0,1,0
2021-01-06 16:00:00,3669.4743434928114,23.333333333333332,79,0,1,0
2021-01-06 17:00:00,768.4763023021594,23.333333333333332,79,0,1,0
2021-01-06 18:00:00,768.4763023021594,21.11111111111111,83,0,1,0
2021-01-06 19:00:00,749.2643947446054,21.11111111111111,83,0,1,0
2021-01-06 20:00:00,614.7810418417275,21.11111111111111,83,0,1,0
2021-01-06 21:00:00,499.5095964964036,22.22222222222222,89,0,1,0
2021-01-06 22:00:00,499.5095964964036,22.22222222222222,89,0,1,0
2021-01-06 23:00:00,1863.5550330827366,22.22222222222222,89,0,1,0
2021-01-07 00:00:00,1942.8552472564702,21.666666666666668,89,0,1,0
2021-01-07 01:00:00,1942.8552472564702,21.666666666666668,89,0,1,0
2021-01-07 02:00:00,1942.8552472564702,21.666666666666668,89,0,1,0
2021-01-07 03:00:00,1942.8552472564702,22.22222222222222,87,0,1,0
2021-01-07 04:00:00,2323.584263471415,22.22222222222222,87,0,1,0
2021-01-07 05:00:00,3288.22224793398,22.22222222222222,87,0,1,0
2021-01-07 06:00:00,4196.845709279768,25.0,68,0,1,0
2021-01-07 07:00:00,4743.411662116203,25.0,68,0,1,0
2021-01-07 08:00:00,4665.330811710997,25.0,68,0,1,0
2021-01-07 09:00:00,4704.371236913599,25.555555555555557,67,0,1,0
2021-01-07 10:00:00,4448.571581346982,25.555555555555557,67,0,1,0
2021-01-07 11:00:00,1918.0730643017746,25.555555555555557,67,0,1,0
2021-01-07 12:00:00,3445.741876577524,23.333333333333332,79,0,1,0
2021-01-07 13:00:00,3513.638268234224,23.333333333333332,79,0,1,0
2021-01-07 14:00:00,3347.292108675309,23.333333333333332,79,0,1,0
2021-01-07 15:00:00,3475.44654792733,22.77777777777778,83,0,1,0
2021-01-07 16:00:00,3296.7092968910674,22.77777777777778,83,0,1,0
2021-01-07 17:00:00,834.1071715025593,22.77777777777778,83,0,1,0
2021-01-07 18:00:00,881.2951637039658,22.77777777777778,84,0,1,0
2021-01-07 19:00:00,881.2951637039658,22.77777777777778,84,0,1,0
2021-01-07 20:00:00,761.1185504716068,22.77777777777778,84,0,1,0
